,Feature,Coefficient,Explained Variance,Mean Absolute Error
0,AdultWeekday,20.077469411448387,,
1,clusters,2.638485681833308,,
2,vertical_drop,2.0324111526175392,,
3,Runs,1.39863143431157,,
4,triple,1.3870362884985503,,
5,surface,1.2490471479168208,,
6,quad,1.1839288554454552,,
7,daysOpenLastYear,1.1566676911309823,,
8,averageSnowfall,0.8995045570394309,,
9,fastQuads,0.7051868728150441,,
10,projectedDaysOpen,0.5851240438158487,,
11,Snow Making_ac,0.5845627779741673,,
12,total_chairs,0.5717019914457232,,
13,LongestRun_mi,0.4038421695121707,,
14,fastSixes,0.38301797333823856,,
15,NightSkiing_ac,0.3817679034489319,,
16,trams,0.2908600486363076,,
17,double,0.24685760448428906,,
18,yearsOpen,0.24268201442293466,,
19,SkiableTerrain_ac,0.1415597951522648,,
20,TerrainParks,0.09251661248715604,,
21,fastEight,0.060004940282493986,,
22,,,0.9354012974977128,5.1303455279734145
